type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	vntype	haslength
PhysicalObject	37:49.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Southwestern Biology. MSB Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MSB:Mamm:274483?seid=2433103. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=msb_mamm (source published on 2015-10-27)	http://arctos.database.museum/guid/MSB:Mamm:274483	urn:lsid:biocol.org:col:34495			MSB	Mammal specimens		PreservedSpecimen			sex=male ; total length=340 mm; tail length=82 mm; hind foot with claw=48 mm; ear from notch=20 mm; weight=540 g; ectoparasite examination=yes ; endoparasite examination=yes ; examined for parasites=yes	http://arctos.database.museum/guid/MSB:Mamm:274483?seid=2433103	274483		Collector(s): Joseph A. Cook et al. 2014	1	male						"skin; skull; postcranial skeleton; ectoparasite(s) (70% ethanol); heart, kidney, lung, spleen (frozen); heart, kidney, lung, spleen (frozen); liver (frozen); ectoparasite(s) (70% ethanol)"						NK=260053; original identifier=Marm 012	"Marm 012. GI tract, liver negative helminths. 5 fleas, 2 lice. Plus 1 flea."	http://arctos.database.museum/guid/MSB:Mamm:274483					<i>Urocitellus columbianus</i> (accepted ID) identified by Joseph A. Cook et al. 2014 on 2014-06-26; method: field					6/26/2014		177	177	2014	6	26	26-Jun-14								"North America, United States, Idaho, Custer County"	North America				United States		Idaho	Custer County		"16 km SW of Challis, Little Bayhorse Lake"	"16 km SW, Challis, LIttle Bayhorse Lake"	2552	2552							Joseph A. Cook et al. 2014		44.41032	-114.39035	World Geodetic System 1984	5		44.41032/-114.39035			decimal degrees				Joseph A. Cook et al. 2014	6/26/2014	not recorded	Garmin GPS unit	unverified																					A		Joseph A. Cook et al. 2014	6/26/2014		field				Urocitellus columbianus					"Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;  (Ord, 1815)"	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus						ICZN			340	total length	0	540	0		male		Museum of Southwestern Biology. MSB Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=msb_mamm (source published on 2015-10-27)	b15d4952-7d20-46f1-8a3e-556a512b04c5	939ed180-aa7b-11db-8edf-b8a03c50a862	cookjose@unm.edu	Joseph Cook	10/27/2015	8/12/2016	no migrator	0	1	0	0	specimen	1
PhysicalObject	38:22.0	CC0		http://www.vertnet.org/resources/norms.html	Museum of Southwestern Biology. MSB Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MSB:Mamm:274485?seid=2433105. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=msb_mamm (source published on 2015-10-27)	http://arctos.database.museum/guid/MSB:Mamm:274485	urn:lsid:biocol.org:col:34495			MSB	Mammal specimens		PreservedSpecimen			sex=female ; total length=301 mm; tail length=55 mm; hind foot with claw=48 mm; ear from notch=20 mm; weight=510 g; reproductive data=2R 3L embryos CRL=7mm ; ectoparasite examination=yes ; endoparasite examination=yes ; examined for parasites=yes	http://arctos.database.museum/guid/MSB:Mamm:274485?seid=2433105	274485		Collector(s): Joseph A. Cook et al. 2014	1	female						"whole organism (ethanol-fixed); liver (frozen); ectoparasite(s) (frozen); ectoparasite(s) (70% ethanol); heart, kidney, lung, spleen (frozen)"						NK=260055; original identifier=Sorex 005	"Sorex 005. GPS. Shot by NTB. GI tract, liver negative helminths."	http://arctos.database.museum/guid/MSB:Mamm:274485					<i>Urocitellus columbianus</i> (accepted ID) identified by Joseph A. Cook et al. 2014 on 2014-06-26; method: field					6/26/2014		177	177	2014	6	26	26-Jun-14								"North America, United States, Idaho, Custer County"	North America				United States		Idaho	Custer County		"16 km SW of Challis, Little Bayhorse Lake"	"16 km SW, Challis, LIttle Bayhorse Lake"	2554	2554							Joseph A. Cook et al. 2014		44.41242	-114.38673	World Geodetic System 1984	5		44.41242/-114.38673			decimal degrees				Joseph A. Cook et al. 2014	6/26/2014	not recorded	Garmin GPS unit	unverified																					A		Joseph A. Cook et al. 2014	6/26/2014		field				Urocitellus columbianus					"Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;  (Ord, 1815)"	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus						ICZN			301	total length	0	510	0		female		Museum of Southwestern Biology. MSB Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=msb_mamm (source published on 2015-10-27)	b15d4952-7d20-46f1-8a3e-556a512b04c5	939ed180-aa7b-11db-8edf-b8a03c50a862	cookjose@unm.edu	Joseph Cook	10/27/2015	8/12/2016	no migrator	0	1	0	0	specimen	1
PhysicalObject	59:23.0	CC0		http://www.vertnet.org/resources/norms.html	"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:106933?seid=1342684. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	http://arctos.database.museum/guid/MVZ:Mamm:106933	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=female	http://arctos.database.museum/guid/MVZ:Mamm:106933?seid=1342684	106933	770	Collector(s): Harold C. Reynolds	1	female						skull; study skin						collector number=770		http://arctos.database.museum/guid/MVZ:Mamm:106933					"<i>Urocitellus columbianus columbianus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305.<br><i>Spermophilus columbianus columbianus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy"					7/27/1947		208	208	1947	7	27	27-Jul-47								"North America, United States, Montana, Beaverhead County"	North America				United States		Montana	Beaverhead County		"Birch Creek, 18 mi NW Dillon"	"Birch Creek, 18 mi NW Dillon"	2164.08	2164.08							Elizabeth Campbell		45.4231	-112.8635	North American Datum 1927	12360		45.4231/-112.8635			decimal degrees				Elizabeth Campbell	9/25/2002	MaNIS georeferencing guidelines	Topozone.com	unverified																					A		James L. Patton	10/29/2009		taxonomic revision	"following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305."			Urocitellus columbianus columbianus					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus	columbianus					ICZN									female		"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	10/27/2015	8/12/2016	no migrator	0	0	0	0	specimen	0
PhysicalObject	59:23.0	CC0		http://www.vertnet.org/resources/norms.html	"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:106934?seid=1199449. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	http://arctos.database.museum/guid/MVZ:Mamm:106934	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=female	http://arctos.database.museum/guid/MVZ:Mamm:106934?seid=1199449	106934	779	Collector(s): Harold C. Reynolds	1	female						skull; study skin						collector number=779		http://arctos.database.museum/guid/MVZ:Mamm:106934					"<i>Urocitellus columbianus columbianus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305.<br><i>Spermophilus columbianus columbianus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy"					7/27/1947		208	208	1947	7	27	27-Jul-47								"North America, United States, Montana, Beaverhead County"	North America				United States		Montana	Beaverhead County		"Birch Creek, 18 mi NW Dillon"	"Birch Creek, 18 mi NW Dillon"	2164.08	2164.08							Elizabeth Campbell		45.4231	-112.8635	North American Datum 1927	12360		45.4231/-112.8635			decimal degrees				Elizabeth Campbell	9/25/2002	MaNIS georeferencing guidelines	Topozone.com	unverified																					A		James L. Patton	10/29/2009		taxonomic revision	"following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305."			Urocitellus columbianus columbianus					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus	columbianus					ICZN									female		"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	10/27/2015	8/12/2016	no migrator	0	0	0	0	specimen	0
PhysicalObject	05:54.0	CC0		http://www.vertnet.org/resources/norms.html	"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:112207?seid=962850. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	http://arctos.database.museum/guid/MVZ:Mamm:112207	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=male	http://arctos.database.museum/guid/MVZ:Mamm:112207?seid=962850	112207	17321	Collector(s): William L. Jellison	1	male						study skin						collector number=17321	"COLL NO PRECEDED BY A.P."""	http://arctos.database.museum/guid/MVZ:Mamm:112207					"<i>Urocitellus columbianus columbianus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305.<br><i>Spermophilus columbianus columbianus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy"					12/17/1940		352	352	1940	12	17	17-Dec-40								"North America, United States, Montana, Ravalli County"	North America				United States		Montana	Ravalli County		Hamilton	Hamilton									Bryce A. Maxell		46.244751	-114.156878	World Geodetic System 1984	7983		5125171N 719173E ZONE 11			UTM				Bryce A. Maxell	3/26/2001	not recorded	All Topo Maps software: Montana by iGage Mapping Corporation	unverified																					A		James L. Patton	10/29/2009		taxonomic revision	"following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305."			Urocitellus columbianus columbianus					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus	columbianus					ICZN									male		"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	10/27/2015	8/12/2016	no migrator	0	0	0	0	specimen	0
PhysicalObject	41:38.0	CC0		http://www.vertnet.org/resources/norms.html	"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:113821?seid=1451999. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	http://arctos.database.museum/guid/MVZ:Mamm:113821	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=male	http://arctos.database.museum/guid/MVZ:Mamm:113821?seid=1451999	113821	32	Collector(s): Robert I. Bowman	1	male						skull; study skin						collector number=32		http://arctos.database.museum/guid/MVZ:Mamm:113821					"<i>Urocitellus columbianus columbianus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305.<br><i>Spermophilus columbianus columbianus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy"					8/20/1950		232	232	1950	8	20	20-Aug-50								"North America, Canada, British Columbia"	North America				Canada		British Columbia			"Tenas Creek, Apex [Independence] Mt. Rd., Yale County"	"Tenas Creek, Apex [Independence] Mt. Road, Yale Co."	1219.2	1219.2							Kristina Yamamoto		49.41517	-117.88125	unknown	10340		49.41517/-117.88125			decimal degrees				Kristina Yamamoto	4/14/2004	MaNIS georeferencing guidelines	"Canada. Surveys and Mapping Branch. National topographic system 1:50,000"	unverified																					A		James L. Patton	10/29/2009		taxonomic revision	"following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305."			Urocitellus columbianus columbianus					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus	columbianus					ICZN									male		"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	10/27/2015	8/12/2016	no migrator	0	0	0	0	specimen	0
PhysicalObject	45:34.0	CC0		http://www.vertnet.org/resources/norms.html	"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:134494?seid=148473. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	http://arctos.database.museum/guid/MVZ:Mamm:134494	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=female	http://arctos.database.museum/guid/MVZ:Mamm:134494?seid=148473	134494	66	Collector(s): David W. Conard	1	female						skull; study skin						collector number=66		http://arctos.database.museum/guid/MVZ:Mamm:134494					"<i>Urocitellus columbianus columbianus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305.<br><i>Spermophilus columbianus columbianus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy"					6/21/1966		172	172	1966	6	21	21-Jun-66								"North America, United States, Montana, Lincoln County"	North America				United States		Montana	Lincoln County		Spar Creek drainage	Spar Creek Drainage	1524	1524							Anne Wiley		48.2479	-115.9594	World Geodetic System 1984	2555		48.2479/-115.9594			decimal degrees				Anne Wiley	10/22/2002	MaNIS georeferencing guidelines	DeLorme Atlas	unverified																					A		James L. Patton	10/29/2009		taxonomic revision	"following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305."			Urocitellus columbianus columbianus					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus	columbianus					ICZN									female		"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	10/27/2015	8/12/2016	no migrator	0	0	0	0	specimen	0
PhysicalObject	18:35.0	CC0		http://www.vertnet.org/resources/norms.html	"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:134495?seid=721168. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	http://arctos.database.museum/guid/MVZ:Mamm:134495	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=female	http://arctos.database.museum/guid/MVZ:Mamm:134495?seid=721168	134495	14203	Collector(s): Ward C. Russell	1	female						skull; study skin						collector number=14203		http://arctos.database.museum/guid/MVZ:Mamm:134495					"<i>Urocitellus columbianus columbianus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305.<br><i>Spermophilus columbianus columbianus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy"					6/20/1966		171	171	1966	6	20	20-Jun-66								"North America, United States, Montana, Lincoln County"	North America				United States		Montana	Lincoln County		"15 mi E, 5 mi S Troy"	"15 mi E, 5 mi S Troy"									Anne Wiley		48.389	-115.5805	North American Datum 1927	2876		48.389/-115.5805			decimal degrees				Anne Wiley	10/18/2002	MaNIS georeferencing guidelines	Topozone.com	unverified																					A		James L. Patton	10/29/2009		taxonomic revision	"following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305."			Urocitellus columbianus columbianus					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus	columbianus					ICZN									female		"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	10/27/2015	8/12/2016	no migrator	0	0	0	0	specimen	0
PhysicalObject	05:36.0	CC0		http://www.vertnet.org/resources/norms.html	"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:134497?seid=1593769. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	http://arctos.database.museum/guid/MVZ:Mamm:134497	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=female	http://arctos.database.museum/guid/MVZ:Mamm:134497?seid=1593769	134497	14270	Collector(s): Ward C. Russell	1	female						skull; skeleton						collector number=14270		http://arctos.database.museum/guid/MVZ:Mamm:134497					"<i>Urocitellus columbianus columbianus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305.<br><i>Spermophilus columbianus columbianus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy"					7/4/1966		185	185	1966	7	4	4-Jul-66								"North America, United States, Montana, Lincoln County"	North America				United States		Montana	Lincoln County		head of Pete Creek	Pete Creek head	1341.12	1341.12							Anne Wiley		48.8311	-115.7683	North American Datum 1927	583		48.8311/-115.7683			decimal degrees				Anne Wiley	10/18/2002	MaNIS georeferencing guidelines	Topozone.com	unverified																					A		James L. Patton	10/29/2009		taxonomic revision	"following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305."			Urocitellus columbianus columbianus					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus	columbianus					ICZN									female		"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	10/27/2015	8/12/2016	no migrator	0	0	0	0	specimen	0
PhysicalObject	21:18.0	CC0		http://www.vertnet.org/resources/norms.html	"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:135335?seid=1660865. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	http://arctos.database.museum/guid/MVZ:Mamm:135335	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34904		MVZ	Mammal specimens		PreservedSpecimen			sex=male	http://arctos.database.museum/guid/MVZ:Mamm:135335?seid=1660865	135335	174	Collector(s): Steve Berwick	1	male						skull; study skin						collector number=174		http://arctos.database.museum/guid/MVZ:Mamm:135335					"<i>Urocitellus columbianus columbianus</i> (accepted ID) identified by James L. Patton on 2009-10-29; method: taxonomic revision Remark: following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305.<br><i>Spermophilus columbianus columbianus</i> identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy"					6/26/1966		177	177	1966	6	26	26-Jun-66								"North America, United States, Montana, Ravalli County"	North America				United States		Montana	Ravalli County		"150 ft W of West Fork Bitteroot River, 0.5 mi Painted Rock Reservoir"	"150 ft W of West Fork Bitteroot River, 0.5 mi Painted Rock Reservoir"	1463.04	1463.04							Elizabeth Campbell		46.0528	-114.2581	North American Datum 1927	1636		46.0528/-114.2581			decimal degrees				Elizabeth Campbell	11/4/2002	MaNIS georeferencing guidelines	Topozone.com	unverified																					A		James L. Patton	10/29/2009		taxonomic revision	"following Helgen, K. M., F. R. Cole, L. E. Helgen, and D. E. Wilson. 2009. Generic revision in the Holarctic ground squirrel genus Spermophilus.  Journal of Mammalogy 90:270-305."			Urocitellus columbianus columbianus					Animalia; Chordata; Mammalia; Rodentia; Sciuridae; Xerinae; Marmotini;	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Urocitellus		columbianus	columbianus					ICZN									male		"Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal (source published on 2015-10-27)"	0daed095-478a-4af6-abf5-18acb790fbb2	8edbbde0-055e-11d8-b850-b8a03c50a862	ondatra@berkeley.edu	Chris Conroy	10/27/2015	8/12/2016	no migrator	0	0	0	0	specimen	0
