$method
[1] "niche identity test"

$null
[1] "niche models are identical"

$statistic
        D         I 
0.3517687 0.6175275 

$p.value
D I 
1 1 

$null.distribution
               D         I
  [1,] 0.8628873 0.9832611
  [2,] 0.8889499 0.9858962
  [3,] 0.9059544 0.9919309
  [4,] 0.8771273 0.9869624
  [5,] 0.8519640 0.9799852
  [6,] 0.8765330 0.9860453
  [7,] 0.9061590 0.9914587
  [8,] 0.8956035 0.9889300
  [9,] 0.8985167 0.9885493
 [10,] 0.8858338 0.9882956
 [11,] 0.8745904 0.9866991
 [12,] 0.8592378 0.9823638
 [13,] 0.8852934 0.9879302
 [14,] 0.8751286 0.9842451
 [15,] 0.8728191 0.9868729
 [16,] 0.8775678 0.9856998
 [17,] 0.8603596 0.9829071
 [18,] 0.8825165 0.9854410
 [19,] 0.8815822 0.9853607
 [20,] 0.8841692 0.9893669
 [21,] 0.8856267 0.9870121
 [22,] 0.8622827 0.9845675
 [23,] 0.8713737 0.9848887
 [24,] 0.8627418 0.9836977
 [25,] 0.9056839 0.9907128
 [26,] 0.8901977 0.9877094
 [27,] 0.8934891 0.9899350
 [28,] 0.8833086 0.9873892
 [29,] 0.8903020 0.9876929
 [30,] 0.8400286 0.9783765
 [31,] 0.8834666 0.9888455
 [32,] 0.8686139 0.9846410
 [33,] 0.8783311 0.9865611
 [34,] 0.8818884 0.9848951
 [35,] 0.8603350 0.9839271
 [36,] 0.8771544 0.9862445
 [37,] 0.8508042 0.9836707
 [38,] 0.8536451 0.9831628
 [39,] 0.8804698 0.9867088
 [40,] 0.8724033 0.9854907
 [41,] 0.8654459 0.9829691
 [42,] 0.8694604 0.9843810
 [43,] 0.8839405 0.9888165
 [44,] 0.8959336 0.9886883
 [45,] 0.8701314 0.9826323
 [46,] 0.8629862 0.9830809
 [47,] 0.8865258 0.9881046
 [48,] 0.8785620 0.9873907
 [49,] 0.8557500 0.9823328
 [50,] 0.8995551 0.9898313
 [51,] 0.8789252 0.9851105
 [52,] 0.8846388 0.9882273
 [53,] 0.8596447 0.9809229
 [54,] 0.9014933 0.9898903
 [55,] 0.8563662 0.9786402
 [56,] 0.8797786 0.9859909
 [57,] 0.9006108 0.9901150
 [58,] 0.8748697 0.9857910
 [59,] 0.9023858 0.9905407
 [60,] 0.8841005 0.9877324
 [61,] 0.8644581 0.9778398
 [62,] 0.8856511 0.9879796
 [63,] 0.8683500 0.9849819
 [64,] 0.8837367 0.9871862
 [65,] 0.8742140 0.9856890
 [66,] 0.8643722 0.9845696
 [67,] 0.8943462 0.9900791
 [68,] 0.8933360 0.9894712
 [69,] 0.8685432 0.9843459
 [70,] 0.9004905 0.9881476
 [71,] 0.8718443 0.9860908
 [72,] 0.8872924 0.9895148
 [73,] 0.8763427 0.9858680
 [74,] 0.8892686 0.9881477
 [75,] 0.8565162 0.9819723
 [76,] 0.8905483 0.9899412
 [77,] 0.8748560 0.9865401
 [78,] 0.8880755 0.9874702
 [79,] 0.8358699 0.9775485
 [80,] 0.8781235 0.9873380
 [81,] 0.8811008 0.9870580
 [82,] 0.8732347 0.9856548
 [83,] 0.8677420 0.9844376
 [84,] 0.8454414 0.9777192
 [85,] 0.8526095 0.9809017
 [86,] 0.8352407 0.9747683
 [87,] 0.8835611 0.9850677
 [88,] 0.8799979 0.9867910
 [89,] 0.8794025 0.9862211
 [90,] 0.8781147 0.9866429
 [91,] 0.8644577 0.9845296
 [92,] 0.8887967 0.9876873
 [93,] 0.8773850 0.9863215
 [94,] 0.8538804 0.9805849
 [95,] 0.8775487 0.9868832
 [96,] 0.8752843 0.9873519
 [97,] 0.8771976 0.9872210
 [98,] 0.8600356 0.9829956
 [99,] 0.8559986 0.9816215
[100,] 0.8646483 0.9839900

attr(,"class")
[1] "ntest"
