type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	48:00.0	CC0			California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:53968. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-53968	CAS			CAS	HERP		PreservedSpecimen				urn:catalog:CAS:HERP:53968	53968		J.H. Hickman								Alcohol																		4/18/21		108	108	1921	4	18	11-18 Apr 1921								North America; USA; West Virginia; Harrison Co.	North America				USA		West Virginia	Harrison Co.		Bristol	"Bristol, Harrison Co., West Virginia"											39.2882015	-80.52475789	NAD83	432					DD							"Terrain Navigator Pro v. 7.0 USGS 1:24,000"																															Plethodon wehrlei					Animalia; Chordata; Amphibia; Caudata; Plethodontidae	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei																	California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	cece4fc2-1fec-4bb5-a335-7252548e3f0b	66522820-055c-11d8-b84e-b8a03c50a862	jvindum@calacademy.org	Jens Vindum	9/27/17	10/23/17	no migrator	0	0	0	0		specimen	0
PhysicalObject	48:00.0	CC0			California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:54603. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-54603	CAS			CAS	HERP		PreservedSpecimen				urn:catalog:CAS:HERP:54603	54603		F.N. Blanchard								Alcohol																		4/11/20		102	102	1920	4	11	8-11 Apr 1920								North America; USA; West Virginia; Harrison Co.	North America				USA		West Virginia	Harrison Co.		Bristol	"Bristol, Harrison Co., West Virginia"											39.2882015	-80.52475789	NAD83	432					DD							"Terrain Navigator Pro v. 7.0 USGS 1:24,000"																															Plethodon wehrlei					Animalia; Chordata; Amphibia; Caudata; Plethodontidae	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei																	California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	cece4fc2-1fec-4bb5-a335-7252548e3f0b	66522820-055c-11d8-b84e-b8a03c50a862	jvindum@calacademy.org	Jens Vindum	9/27/17	10/23/17	no migrator	0	0	0	0		specimen	0
PhysicalObject	48:00.0	CC0			California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:54604. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-54604	CAS			CAS	HERP		PreservedSpecimen				urn:catalog:CAS:HERP:54604	54604		F.N. Blanchard								Alcohol																		4/11/20		102	102	1920	4	11	8-11 Apr 1920								North America; USA; West Virginia; Harrison Co.	North America				USA		West Virginia	Harrison Co.		Bristol	"Bristol, Harrison Co., West Virginia"											39.2882015	-80.52475789	NAD83	432					DD							"Terrain Navigator Pro v. 7.0 USGS 1:24,000"																															Plethodon wehrlei					Animalia; Chordata; Amphibia; Caudata; Plethodontidae	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei																	California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	cece4fc2-1fec-4bb5-a335-7252548e3f0b	66522820-055c-11d8-b84e-b8a03c50a862	jvindum@calacademy.org	Jens Vindum	9/27/17	10/23/17	no migrator	0	0	0	0		specimen	0
PhysicalObject	48:00.0	CC0			California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:HERP:54607. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	http://portal.vertnet.org/o/cas/herp?id=urn-catalog-cas-herp-54607	CAS			CAS	HERP		PreservedSpecimen				urn:catalog:CAS:HERP:54607	54607		F.N. Blanchard								Alcohol																		4/11/20		102	102	1920	4	11	8-11 Apr 1920								North America; USA; West Virginia; Harrison Co.	North America				USA		West Virginia	Harrison Co.		Bristol	"Bristol, Harrison Co., West Virginia"											39.2882015	-80.52475789	NAD83	432					DD							"Terrain Navigator Pro v. 7.0 USGS 1:24,000"																															Plethodon wehrlei					Animalia; Chordata; Amphibia; Caudata; Plethodontidae	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei																	California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	cece4fc2-1fec-4bb5-a335-7252548e3f0b	66522820-055c-11d8-b84e-b8a03c50a862	jvindum@calacademy.org	Jens Vindum	9/27/17	10/23/17	no migrator	0	0	0	0		specimen	0
PhysicalObject	48:00.0	CC0			California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:13337. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-13337	SUA			CAS	SUA		PreservedSpecimen				urn:catalog:CAS:SUA:13337	13337	47-151	"S.C. Bishop, W.C. Brown et al."			Adult					Alcohol																		5/11/47		131	131	1947	5	11	11-May-47								North America; USA; New York; Cattaraugus Co.	North America				USA		New York	Cattaraugus Co.		"Allegany State Park, N side of Blacksnake Mtn"	New York: Cattaraugus Co: Allegany State Park: N. side Blacksnake Mt.											42.00897	-78.75313	WGS84	1639					DD							"Terrain Navigator 7.03 1:24,000"																															Plethodon wehrlei					Animalia; Chordata; Amphibia; Caudata; Plethodontidae	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei														Adult			California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	cece4fc2-1fec-4bb5-a335-7252548e3f0b	66522820-055c-11d8-b84e-b8a03c50a862	jvindum@calacademy.org	Jens Vindum	9/27/17	10/23/17	no migrator	0	0	0	0		specimen	0
PhysicalObject	48:00.0	CC0			California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:6757. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-6757	SUA			CAS	SUA		PreservedSpecimen				urn:catalog:CAS:SUA:6757	6757		R. Van Auken								Alcohol																		5/19/40		140	140	1940	5	19	18-19 May 1940								North America; USA; New York; Cattaraugus Co.	North America				USA		New York	Cattaraugus Co.		Allegany State Park	"Allegany St. Pk., Cattaraugus Co, NY"											42.07472	-78.78111	WGS84	15946					DD							"Terrain Navigator 6.04 1:24,000"																								A.E. Daugherty							Plethodon wehrlei					Animalia; Chordata; Amphibia; Caudata; Plethodontidae	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei																	California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	cece4fc2-1fec-4bb5-a335-7252548e3f0b	66522820-055c-11d8-b84e-b8a03c50a862	jvindum@calacademy.org	Jens Vindum	9/27/17	10/23/17	no migrator	0	0	0	0		specimen	0
PhysicalObject	48:00.0	CC0			California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUA:6767. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	http://portal.vertnet.org/o/cas/sua?id=urn-catalog-cas-sua-6767	SUA			CAS	SUA		PreservedSpecimen				urn:catalog:CAS:SUA:6767	6767		S.C. Bishop			Adult					Alcohol																		5/16/41		136	136	1941	5	16	16-May-41								North America; USA; New York; Cattaraugus Co.	North America				USA		New York	Cattaraugus Co.		"Allegany State Park, Natural History School hillside"	"Allegany St. Pk, Cattaraugus Co, N.Y.  Natural History School hillside"											42.01068	-78.76653	WGS84	400					DD							"Terrain Navigator 7.03 1:24,000"		"Unable to locate Natural History School, georeferenced area of Science Lake (school located on shore of Science Lake)"																						A.E. Daugherty							Plethodon wehrlei					Animalia; Chordata; Amphibia; Caudata; Plethodontidae	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei														Adult			California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2017-09-27)	cece4fc2-1fec-4bb5-a335-7252548e3f0b	66522820-055c-11d8-b84e-b8a03c50a862	jvindum@calacademy.org	Jens Vindum	9/27/17	10/23/17	no migrator	0	0	0	0		specimen	0
PhysicalObject	8/16/17	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:10155. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27)	http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-10155	urn:lsid:biocol.org:col:34702			CM	Herps		PreservedSpecimen				urn:catalog:CM:Herps:10155	10155		"RANEY, EDWARD C"	0						present								"IN ROTTING SPRUCE LOGS. EXCHANGED TO FMNH, AUG 1 1935."											6/25/35		176	176	1935	6	25	6/25/35								NORTH AMERICA | UNITED STATES | WEST VIRGINIA | RANDOLPH |  |  |  |	North America				United States	US	West Virginia	Randolph		"NEAR CHEAT BRIDGE, BARTON KNOB"	"North America | United States | West Virginia | Randolph | NEAR CHEAT BRIDGE, BARTON KNOB"	1341.12	1341.12	4400 FT								38.61	-79.92	NAD27	328					decimal degrees						VertNet Georeferencing Guidelines		requires verification	Georeferenced center of elevation 4400 on Barton Knob.																													Plethodon wehrlei					Animalia | Chordata | Amphibia | Caudata | PLETHODONTIDAE | PLETHODON	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei		species				ICZN											Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27)	76dd8f0d-2daa-4a69-9fcd-55e04230334a	c1da06f0-580e-11dc-8a9e-b8a03c50a862	rogerss@carnegiemnh.org	Stephen Rogers	9/27/17	10/19/17	9/5/15	0	0	0	0		specimen	0
PhysicalObject	8/16/17	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:10161. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27)	http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-10161	urn:lsid:biocol.org:col:34702			CM	Herps		PreservedSpecimen				urn:catalog:CM:Herps:10161	10161		"RANEY, EDWARD C"	1						present	whole animal in alcohol							IN ROTTING SPRUCE LOGS.											6/25/35		176	176	1935	6	25	6/25/35								NORTH AMERICA | UNITED STATES | WEST VIRGINIA | RANDOLPH |  |  |  |	North America				United States	US	West Virginia	Randolph		"NEAR CHEAT BRIDGE, BARTON KNOB"	"North America | United States | West Virginia | Randolph | NEAR CHEAT BRIDGE, BARTON KNOB"	1341.12	1341.12	4400 FT								38.61	-79.92	NAD27	328					decimal degrees						VertNet Georeferencing Guidelines		requires verification	Georeferenced center of elevation 4400 on Barton Knob.																													Plethodon wehrlei					Animalia | Chordata | Amphibia | Caudata | PLETHODONTIDAE | PLETHODON	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei		species				ICZN											Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27)	76dd8f0d-2daa-4a69-9fcd-55e04230334a	c1da06f0-580e-11dc-8a9e-b8a03c50a862	rogerss@carnegiemnh.org	Stephen Rogers	9/27/17	10/19/17	9/5/15	0	0	0	0		specimen	0
PhysicalObject	8/16/17	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:10162. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27)	http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-10162	urn:lsid:biocol.org:col:34702			CM	Herps		PreservedSpecimen				urn:catalog:CM:Herps:10162	10162		"RANEY, EDWARD C"	1						present	whole animal in alcohol							IN ROTTING SPRUCE LOGS.											6/25/35		176	176	1935	6	25	6/25/35								NORTH AMERICA | UNITED STATES | WEST VIRGINIA | RANDOLPH |  |  |  |	North America				United States	US	West Virginia	Randolph		"NEAR CHEAT BRIDGE, BARTON KNOB"	"North America | United States | West Virginia | Randolph | NEAR CHEAT BRIDGE, BARTON KNOB"	1341.12	1341.12	4400 FT								38.61	-79.92	NAD27	328					decimal degrees						VertNet Georeferencing Guidelines		requires verification	Georeferenced center of elevation 4400 on Barton Knob.																													Plethodon wehrlei					Animalia | Chordata | Amphibia | Caudata | PLETHODONTIDAE | PLETHODON	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		wehrlei		species				ICZN											Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27)	76dd8f0d-2daa-4a69-9fcd-55e04230334a	c1da06f0-580e-11dc-8a9e-b8a03c50a862	rogerss@carnegiemnh.org	Stephen Rogers	9/27/17	10/19/17	9/5/15	0	0	0	0		specimen	0
