x,y,species max
1.0,1.0,0.888004
2.0,2.0,4.4853022E-4
3.0,3.0,0.16101465
4.0,4.0,0.058308527
5.0,5.0,0.028150674
6.0,6.0,0.1231618
7.0,7.0,0.1391788
8.0,8.0,0.058359493
9.0,9.0,0.40670654
10.0,10.0,0.13159017
11.0,11.0,5.161588E-4
12.0,12.0,0.594757
13.0,13.0,0.4495348
14.0,14.0,0.098466046
15.0,15.0,0.099165045
16.0,16.0,0.68944955
17.0,17.0,0.10250634
18.0,18.0,0.07973221
19.0,19.0,0.7140241
20.0,20.0,0.21612868
21.0,21.0,0.09659351
22.0,22.0,0.10674557
23.0,23.0,0.009544803
24.0,24.0,0.061629437
25.0,25.0,1.2095745E-4
26.0,26.0,0.25920355
27.0,27.0,0.13050434
28.0,28.0,0.08659705
29.0,29.0,0.41678387
30.0,30.0,0.006602639
31.0,31.0,0.38354346
32.0,32.0,0.035570264
33.0,33.0,0.08844018
34.0,34.0,0.019002156
35.0,35.0,0.15071087
36.0,36.0,0.041832104
37.0,37.0,0.4972556
38.0,38.0,0.24493277
39.0,39.0,0.086961634
40.0,40.0,0.00225717
41.0,41.0,6.6161185E-5
42.0,42.0,0.047147147
43.0,43.0,0.7702891
44.0,44.0,0.0721605
45.0,45.0,0.08402734
46.0,46.0,0.014909987
47.0,47.0,0.39254633
48.0,48.0,0.7056952
49.0,49.0,0.5918156
50.0,50.0,0.07082145
51.0,51.0,0.11369209
52.0,52.0,0.1668308
53.0,53.0,0.08768398
54.0,54.0,0.025641203
55.0,55.0,0.08053137
56.0,56.0,0.5875816
57.0,57.0,0.08322023
58.0,58.0,0.11885402
59.0,59.0,0.02531668
60.0,60.0,0.03380131
61.0,61.0,0.386177
62.0,62.0,0.12985384
63.0,63.0,0.048770867
64.0,64.0,0.16936594
65.0,65.0,0.10034419
66.0,66.0,0.07618925
67.0,67.0,0.021950101
68.0,68.0,9.793641E-5
69.0,69.0,9.638769E-5
70.0,70.0,0.1596168
71.0,71.0,0.06543305
72.0,72.0,0.118493944
73.0,73.0,0.76393974
74.0,74.0,0.09392819
75.0,75.0,0.20497116
76.0,76.0,0.0018198676
77.0,77.0,0.07989702
78.0,78.0,0.15241851
79.0,79.0,0.69323134
80.0,80.0,0.24284978
81.0,81.0,0.077269614
82.0,82.0,0.030863853
83.0,83.0,0.67378604
84.0,84.0,0.07563267
85.0,85.0,0.043982152
86.0,86.0,0.754231
87.0,87.0,0.06836227
88.0,88.0,0.04655603
89.0,89.0,0.07292706
90.0,90.0,0.02162929
91.0,91.0,0.13366301
92.0,92.0,0.05693668
93.0,93.0,0.084023915
94.0,94.0,0.16238225
95.0,95.0,0.13305102
96.0,96.0,0.01791685
97.0,97.0,0.12680851
98.0,98.0,0.34307998
99.0,99.0,0.24004015
100.0,100.0,0.13557397
101.0,101.0,0.7972685
102.0,102.0,0.062146574
103.0,103.0,0.44035313
104.0,104.0,0.17328386
105.0,105.0,0.027574081
106.0,106.0,0.08301034
