type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	2016-01-26 13:12:14.0	http://creativecommons.org/publicdomain/zero/1.0/		http://www.vertnet.org/resources/norms.html	Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:250511?seid=1974603. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2016-06-24)	http://arctos.database.museum/guid/MVZ:Herp:250511	urn:lsid:biocol.org:col:34777	urn:lsid:biocol.org:col:34818		MVZ	Amphibian and reptile specimens		PreservedSpecimen			sex=not recorded	http://arctos.database.museum/guid/MVZ:Herp:250511?seid=1974603	250511	TJP 29753	Collector(s): Theodore J. Papenfuss	1	undetermined						liver (frozen); whole organism (ethanol); liver (frozen)						collector number=TJP 29753		http://arctos.database.museum/guid/MVZ:Herp:250511					<i>Plethodon variolatus</i> (accepted ID) identified by Theodore J. Papenfuss on 2011-10-21; method: expert					2005-10-02		275	275	2005	10	02	2 Oct 2005								North America, United States, South Carolina, Berkeley County	North America				United States		South Carolina	Berkeley County		Farewell Corner Rd., Francis Marion National Forest	Elev. 15 feet, 33° 07.66'N, 79° 42.57'W Farewell Corner Rd. Francis Marion National Forest Berkeley Co., South Carolina	4.572	4.572							Theodore J. Papenfuss		33.1276666667	-79.7095	World Geodetic System 1984	30		33d 7.66m N/79d 42.57m W			degrees dec. minutes				Theodore J. Papenfuss	2005-10-02	MaNIS georeferencing guidelines	GPS	unverified																					A		Theodore J. Papenfuss	2011-10-21		expert				Plethodon variolatus					Animalia; Chordata; Amphibia; Caudata; Plethodontidae; Plethodontinae;	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus						ICZN									not recorded		Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2016-06-24)	09c4287e-e6d5-4552-a07f-bff8a00833d8	8edbbde0-055e-11d8-b850-b8a03c50a862	atrox@berkeley.edu	Carol Spencer	2016-06-24	2017-10-22	no migrator	0	1	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 07967769-4953-4C9C-92BD-2A2DA336E869. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=27302	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				07967769-4953-4C9C-92BD-2A2DA336E869	27302			1								In Collections																HERP-27302	1972-12-03		338	338	1972	12	3										North America				United States	US	Georgia	Chatham		ca. [10.3 air] miles WSW center Savannah, off Quacco Road, 4.6 miles N junction US 17												32.069	-81.2751	WGS84	805												DeLorme TopoQuads																															Plethodon variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 0D50084C-FC57-42A8-AFA1-E071A24903B5. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=27301	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				0D50084C-FC57-42A8-AFA1-E071A24903B5	27301			1								In Collections																HERP-26927	1972-03-05		65	65	1972	3	5										North America				United States	US	Georgia	Chatham		ca. 2 miles SSE Bloomingdale	Off Pine Barrens Road											32.104	-81.2893	WGS84	402												DeLorme TopoQuads																															Plethodon variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 118A6739-9D63-4C7F-BC48-50AEF8041348. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=83151	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				118A6739-9D63-4C7F-BC48-50AEF8041348	83151			1								In Collections																JRH 244	1964-11-24		329	329	1964	11	24										North America				United States	US	South Carolina	Dorchester			4.1 mi. W US Hwy 17, on Parker's Ferry Road											32.7601	-80.3961	NAD83/WGS95	805												DeLorme TopoQuads																															Plethodon  variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 23CE464C-5CA0-4FA7-A4F5-7AAA60217D15. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=27315	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				23CE464C-5CA0-4FA7-A4F5-7AAA60217D15	27315			1								In Collections																HERP-27315	1971-03-04		63	63	1971	3	4										North America				United States	US	South Carolina	Charleston		McClellanville	G.W. Stowe duckery. [Could not locate duckery.]											33.0882	-79.4611	WGS84	4023												DeLorme TopoQuads																															Plethodon variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 31C24FF1-AEEB-4E5B-9E5A-061A38C60990. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=87528	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				31C24FF1-AEEB-4E5B-9E5A-061A38C60990	87528			5								In Collections					ChM 1987.20											HERP-87528	1987-01-19		19	19	1987	1	19										North America				United States	US	South Carolina	Berkeley		3.0 miles NNE Huger, Francis Marion National Forest, FSR 159 [Yellowjacket Road], ca. 1.2 road miles NE junction SC 402	Under pine logs; pine-hardwood slope.											33.1412	-79.7949	WGS84	402												DeLorme Topo USA 6.0																															Plethodon variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 3A5783C6-890E-40DC-A848-570A9E221220. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=83153	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				3A5783C6-890E-40DC-A848-570A9E221220	83153			1								In Collections																JRH 395	1965-03-28		87	87	1965	3	28										North America				United States	US	South Carolina	Dorchester		9.1 mi. SW Summerville												32.9289	-80.2898	NAD83/WGS97	12070												DeLorme TopoQuads																															Plethodon  variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 3C157525-79B5-4693-978D-D99D0A266048. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=81867	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				3C157525-79B5-4693-978D-D99D0A266048	81867			1								In Collections																BD-98-19	1998-09-18		261	261	1998	9	18										North America				United States	US	South Carolina	Berkeley		Francis Marion National Forest, FSR 204F, S Santee River, [ca. 5.1 miles NE Honey Hill]												33.2478	-79.5203	WGS84	201												Original Field notes																															Plethodon variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 4EC43678-6B02-4B37-A98D-7421E206C8F0. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=82822	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				4EC43678-6B02-4B37-A98D-7421E206C8F0	82822			1								In Collections																JRH 688	1966-02-16		47	47	1966	2	16										North America				United States	US	South Carolina	Charleston-Dorchester		6.2 mi. E Delemar's Crossroads												32.845	-80.173	WGS84	4023												DeLorme TopoQuads																															Plethodon variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-07-28	CC0	North Carolina Museum of Natural Sciences		North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Record ID: 51C7B2A1-2CCA-4E45-9B7D-AD1F20AE5073. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	http://collections.naturalsciences.org/specimenHerp.aspx?ID=27303	NCSM		NCSM-HerpDWC	NCSM	NCSM-Herp	NCSM Herpetology Collection	PreservedSpecimen				51C7B2A1-2CCA-4E45-9B7D-AD1F20AE5073	27303			1								In Collections																HERP-27303	1972-12-03		338	338	1972	12	3										North America				United States	US	Georgia	Chatham		ca. [10.3 air] miles WSW center Savannah, off Quacco Road, 4.6 miles N junction US 17												32.069	-81.2751	WGS84	805												DeLorme TopoQuads																															Plethodon variolatus						Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon		variolatus		specificEpithet			South Carolina Slimy Salamander												North Carolina Museum of Natural Sciences. NCSM Herpetology Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=ncsm_herps (source published on 2016-07-28)	d5fafa95-7de2-48c0-bf10-3480bcca4a2b	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	ben.norton@naturalsciences.org	Ben Norton	2016-07-28	2017-11-10	no migrator	0	0	0	0		specimen	0
